Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.AspNetCore.Diagnostics 2.0.2,,,,,"Microsoft.AspNetCore.Diagnostics, 2.0.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.AspNetCore.Mvc 2.0.3,,,,,"Microsoft.AspNetCore.Mvc, 2.0.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.AspNetCore.Server.IISIntegration 2.0.2,,,,,"Microsoft.AspNetCore.Server.IISIntegration, 2.0.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.AspNetCore.Server.Kestrel 2.0.2,,,,,"Microsoft.AspNetCore.Server.Kestrel, 2.0.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.AspNetCore.StaticFiles 2.0.2,,,,,"Microsoft.AspNetCore.StaticFiles, 2.0.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.Extensions.Configuration.EnvironmentVariables 2.0.1,,,,,"Microsoft.Extensions.Configuration.EnvironmentVariables, 2.0.1  Recommendation:  Remove Microsoft.Extensions.Configuration.EnvironmentVariables, and replace with new package Microsoft.Extensions.Configuration.EnvironmentVariables 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.Extensions.Configuration.Json 2.0.1,,,,,"Microsoft.Extensions.Configuration.Json, 2.0.1  Recommendation:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.Extensions.Logging 2.0.1,,,,,"Microsoft.Extensions.Logging, 2.0.1  Recommendation:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.Extensions.Logging.Console 2.0.1,,,,,"Microsoft.Extensions.Logging.Console, 2.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.Extensions.Logging.Debug 2.0.1,,,,,"Microsoft.Extensions.Logging.Debug, 2.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.Extensions.Options.ConfigurationExtensions 2.0.1,,,,,"Microsoft.Extensions.Options.ConfigurationExtensions, 2.0.1  Recommendation:  Remove Microsoft.Extensions.Options.ConfigurationExtensions, and replace with new package Microsoft.Extensions.Options.ConfigurationExtensions 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.VisualStudio.Web.BrowserLink 2.0.2,,,,,"Microsoft.VisualStudio.Web.BrowserLink, 2.0.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.ApplicationInsights.AspNetCore 2.2.1,,,,,"Microsoft.ApplicationInsights.AspNetCore, 2.2.1  Recommendation:  This version is deprecated. Please use the most recent version. Remove Microsoft.ApplicationInsights.AspNetCore, and replace with new package Microsoft.ApplicationInsights.AspNetCore, 3.1.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.AspNetCore.Diagnostics 2.0.2,,,,,"Microsoft.AspNetCore.Diagnostics, 2.0.2  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.Diagnostics, and replace with new package Microsoft.AspNetCore.Diagnostics, 2.3.11"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src/ReadingTimeDemo/ReadingTimeDemo.csproj,File,src/ReadingTimeDemo/ReadingTimeDemo.csproj,,,Microsoft.AspNetCore.Mvc 2.0.3,,,,,"Microsoft.AspNetCore.Mvc, 2.0.3  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.Mvc, and replace with new package Microsoft.AspNetCore.Mvc, 2.3.11"
